Return_on_Equity,Return_on_Capital_Employed,Profit_Margin,Gross_Margin,Net_Assets_Turnover,Liquidity_Ratio,Current_Ratio,Creditors_Turnover,Debtors_Turnover,Stock_Turnover,Gearing,Interst_Cover,Cash_Flow_Coverage,Current_Liability_Coverage
29.20043702,28.56151518,14.38301891,20.52807162,1.985780271,3.222692543,3.214194813,16.27878421,3.299821659,536.95292,3.826143796,161.9764049,7.339816918,0.369021422
8.898739934,8.807459644,14.234242,33.68834843,0.618751574,1.836937413,1.507035819,6.528361626,4.306105587,14.7665206,2.05127307,0,1.200518354,0.096953518
19.40790584,19.12530331,4.486210706,25.6370055,4.263130861,1.749525946,1.731329827,4.975718788,5.986162764,306.7680161,1.510564277,791.7449768,16.10566852,0.307069248
40.65122774,39.42377788,12.60874557,52.10734666,3.126701039,1.797986263,1.468566193,44.32351837,4.789669393,7.826868247,3.113475998,0,14.7389625,0.366985351
29.665452,29.27741921,21.3470146,38.08267332,1.37149947,4.960483575,4.20199396,10.14626482,8.142079556,10.40770039,1.325365418,0,20.16840849,1.518440789
7.794578609,7.769440831,3.760857325,43.99372528,2.065869603,5.424000182,3.634586115,9.011768554,17.85658585,5.302172933,3.85314491,227.7376045,60.63389369,0.898072782
20.40360905,20.26646772,7.437727056,21.32379415,2.724820038,1.660165192,1.653577203,5.56828438,7.148425787,509.4549578,0.676690871,0,52.7129517,0.436414907
17.04773705,16.85669457,8.187539843,33.90268741,2.058822906,2.253957264,1.617416027,10.77631544,6.553309191,8.327178445,1.133332942,143.6482234,26.25669985,0.757545557
15.00288926,14.71685022,5.757105062,33.99311574,2.556293495,2.143028091,1.943901333,5.132320578,2.930764653,21.2020274,3.19128445,163.8543273,4.473755466,0.140870138
15.45385493,15.22589622,9.419430516,36.78058012,1.6164349,3.606300281,3.44240837,9.820571031,5.254729216,29.9880599,1.839812239,233.0894649,8.867829342,0.397726344
7.86035505,7.786614073,15.52642757,56.75290512,0.501507127,8.887626311,7.74128059,5.536323549,4.603960131,5.578292805,0.947022369,0,2.017821601,0.241373342
28.34823353,27.57152908,30.13862622,59.80684041,0.914823684,9.771385286,9.766940032,37.17978985,307.7997421,0,3.209038113,98.7705415,5.397843793,1.450471197
12.84910794,12.84910794,17.71803159,69.04325246,0.725199517,3.486063897,2.136190879,9.146924774,48.49235729,2.946813408,0.032454169,153.6575903,0,0.819199001
31.01563123,30.08156161,22.24368426,73.00715625,1.35236417,3.425841539,2.555479716,8.027575835,5.81582352,5.831859671,3.354408527,130.9912536,9.181917234,1.037875448
11.91450091,11.70956461,28.30817065,41.98084742,0.413646108,8.495835654,8.494348897,20.4179153,9.405502117,0,2.118151622,0,5.628673861,1.245579795
